1|188135
1|250273
1|60428
1|187953
1|108088
1|52615
3|170331
3|53881
3|92079
3|1199
3|72035
3|164737
5|230811
5|223222
5|11786
5|16367
5|76149
5|234512
9|213659
9|195174
9|119128
9|177509
9|150618
9|267024
10|136562
10|101910
10|283051
10|187560
10|47528
10|120383
11|64349
11|61971
11|216012
11|55250
11|108917
11|139745
14|275193
14|71363
14|121861
14|168824
14|230278
14|160169
16|101297
16|205840
16|24526
16|49850
16|70788
16|51218
17|67023
17|180634
17|204472
17|252573
17|13495
17|46889
22|289978
22|69054
22|260801
22|197799
22|95502
22|67865
23|170783
23|17790
23|232816
23|58449
23|183841
23|118780
24|57011
24|205890
24|167478
24|93321
24|139963
24|175818
26|17790
26|245668
26|175560
26|92995
26|18009
26|9096
30|180875
30|176274
30|253486
30|101871
30|292630
30|88927
32|258824
32|227732
32|31066
32|146212
32|143138
32|21099
36|34503
36|166629
36|262269
36|224617
36|92062
36|142130
39|7897
39|73195
39|254344
39|86732
39|230460
39|31200
44|277019
44|150559
44|144511
44|52202
44|264368
44|286188
48|173540
48|143084
48|46475
48|112564
48|79349
48|256009
58|12264
58|125040
58|80663
58|291128
58|96237
58|94095
59|283018
59|192065
59|153170
59|5660
59|241491
59|246319
60|233237
60|245548
60|268572
60|20680
60|28967
60|279899
61|239100
61|231206
61|185033
61|3109
61|34940
61|68080
65|8424
65|71197
65|69315
65|269171
65|165332
65|136869
67|30048
67|70268
67|163461
67|261695
67|153338
67|225847
68|56836
68|171850
68|241105
68|280508
68|53636
68|86485
69|101201
69|141516
69|54217
69|227235
69|252302
69|33441
71|186360
71|103055
71|185040
71|169538
71|105893
71|242840
76|39991
76|118348
76|7669
76|65731
76|244608
76|51849
82|275006
82|47306
82|114660
82|114019
82|131352
82|246317
83|201249
83|119375
83|207829
83|112391
83|107359
83|224410
90|151306
90|92548
90|181565
90|217483
90|49648
90|281815
91|103861
91|180978
91|190099
91|172339
91|2129
91|92770
96|262770
96|17790
96|91171
96|201247
96|104106
96|228569
97|14823
97|227943
97|210104
97|256574
97|280182
97|208235
98|246255
98|246199
98|246852
98|99255
98|219754
98|261221
99|14735
99|244729
99|8379
99|33195
99|232056
99|33622
103|144499
103|120734
103|105617
103|123232
103|55591
103|152133
107|220665
107|51965
107|125677
107|187314
107|294289
107|287377
108|185174
108|209852
108|237211
108|85681
108|253265
108|214911
113|170773
113|170344
113|151431
113|167292
113|234976
113|44031
117|263438
117|153096
117|281029
117|144140
117|258965
117|266912
118|273258
118|249150
118|217090
118|40572
118|87883
118|215339
119|119006
119|268917
119|102251
119|83680
119|82931
119|38880
120|249815
120|247824
120|264582
120|274010
120|187813
120|117093
123|79909
123|115656
123|24426
123|122138
123|165332
123|47591
124|268787
124|162604
124|76451
124|158083
124|133908
124|149182
126|39046
126|39359
126|56976
126|5033
126|40128
126|14238
127|250273
127|180231
127|294632
127|264582
127|12406
127|82520
130|261844
130|95543
130|86266
130|289212
130|17099
130|245719
131|92064
131|3684
131|271794
131|72878
131|288019
131|161084
135|110328
135|98305
135|232242
135|27573
135|5875
135|135529
136|273852
136|227586
136|222443
136|257260
136|9464
136|30202
137|28199
137|44210
137|41728
137|3998
137|98358
137|124810
138|113393
138|244850
138|168065
138|204836
138|212675
138|63023
139|183878
139|26225
139|144285
139|117728
139|2088
139|210627
143|32503
143|281139
143|185423
143|58976
143|187771
143|43391
145|49463
145|151109
145|9648
145|108560
145|281608
145|33807
148|285196
148|283619
148|192203
148|221248
148|271914
148|295396
150|42756
150|190154
150|140019
150|32686
150|143570
150|89636
152|248345
152|201021
152|246657
152|244402
152|42331
152|23039
157|130157
157|35786
157|147094
157|266209
157|78120
157|53162
158|192044
158|95709
158|48874
158|15171
158|225598
158|51618
160|131564
160|42316
160|257780
160|194112
160|250101
160|108560
163|252312
163|66326
163|204859
163|140173
163|86162
163|186707
166|262414
166|52523
166|149377
166|84307
166|63038
166|81750
170|156103
170|159010
170|171346
170|45945
170|18718
170|100915
178|269004
178|124275
178|294881
178|277020
178|226077
178|99197
181|71202
181|146503
181|137720
181|70276
181|209044
181|6173
184|268809
184|60913
184|162210
